
Error results for SA
Iteration 0127: 0.163 0.162
Iteration 0128: 0.163 0.162
Iteration 0129: 0.163 0.162
Iteration 0130: 0.163 0.162
Iteration 0131: 0.162 0.161
Iteration 0132: 0.162 0.161
Iteration 0133: 0.163 0.161
Iteration 0134: 0.162 0.160
Iteration 0135: 0.162 0.160
Iteration 0136: 0.161 0.160
Iteration 0137: 0.161 0.160
Iteration 0138: 0.161 0.160
Iteration 0139: 0.157 0.156
Iteration 0140: 0.157 0.156
Iteration 0141: 0.157 0.156
Iteration 0142: 0.157 0.156
Iteration 0143: 0.156 0.155
Iteration 0144: 0.156 0.155
Iteration 0145: 0.156 0.155
Iteration 0146: 0.156 0.155
Iteration 0147: 0.157 0.155
Iteration 0148: 0.157 0.155
Iteration 0149: 0.154 0.153
Iteration 0150: 0.154 0.153
Iteration 0151: 0.154 0.153
Iteration 0152: 0.159 0.157
Iteration 0153: 0.158 0.157
Iteration 0154: 0.158 0.157
Iteration 0155: 0.158 0.157
Iteration 0156: 0.158 0.157
Iteration 0157: 0.158 0.157
Iteration 0158: 0.158 0.157
Iteration 0159: 0.158 0.157
Iteration 0160: 0.160 0.159
Iteration 0161: 0.160 0.159
Iteration 0162: 0.160 0.159
Iteration 0163: 0.160 0.159
Iteration 0164: 0.160 0.159
Iteration 0165: 0.161 0.160
Iteration 0166: 0.161 0.160
Iteration 0167: 0.161 0.160
Iteration 0168: 0.161 0.160
Iteration 0169: 0.161 0.160
Iteration 0170: 0.157 0.156
Iteration 0171: 0.157 0.156
Iteration 0172: 0.164 0.163
Iteration 0173: 0.161 0.160
Iteration 0174: 0.161 0.160
Iteration 0175: 0.161 0.160
Iteration 0176: 0.161 0.160
Iteration 0177: 0.161 0.160
Iteration 0178: 0.161 0.160
Iteration 0179: 0.161 0.160
Iteration 0180: 0.161 0.160
Iteration 0181: 0.161 0.160
Iteration 0182: 0.158 0.157
Iteration 0183: 0.158 0.157
Iteration 0184: 0.158 0.157
Iteration 0185: 0.158 0.157
Iteration 0186: 0.159 0.158
Iteration 0187: 0.159 0.158
Iteration 0188: 0.159 0.158
Iteration 0189: 0.159 0.158
Iteration 0190: 0.159 0.158
Iteration 0191: 0.161 0.160
Iteration 0192: 0.161 0.160
Iteration 0193: 0.161 0.160
Iteration 0194: 0.161 0.160
Iteration 0195: 0.161 0.159
Iteration 0196: 0.161 0.159
Iteration 0197: 0.161 0.159
Iteration 0198: 0.161 0.159
Iteration 0199: 0.161 0.159

Linear separator

0.134 0.134
0.134 0.134
0.135 0.135
0.135 0.135
0.135 0.135
0.135 0.135
0.135 0.134
0.133 0.133
0.133 0.133
0.131 0.131
0.131 0.131
0.130 0.130
0.130 0.130
0.130 0.130
0.130 0.130
0.130 0.130
0.131 0.130
0.131 0.130
0.131 0.130
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.122 0.121
0.122 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.122 0.121
0.122 0.122
0.122 0.122
0.120 0.120
0.120 0.119
0.120 0.119
0.120 0.120
0.121 0.121
0.121 0.120
0.121 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.119 0.118
0.119 0.118
0.119 0.118
0.118 0.118
0.119 0.119
0.120 0.120
0.120 0.120
0.121 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.121 0.121
0.119 0.119
0.119 0.119
0.120 0.119
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.119
0.120 0.119
0.120 0.120
0.120 0.120
0.120 0.120
0.119 0.119
0.119 0.119
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.119 0.119
0.119 0.119
0.119 0.119
0.118 0.118
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.121 0.121
0.121 0.121
0.121 0.121
0.120 0.120
0.120 0.120
0.120 0.120
0.121 0.120
0.121 0.120
0.121 0.120
0.122 0.122
0.122 0.122
0.122 0.122
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.122 0.122
0.122 0.122
0.122 0.121
0.121 0.121
0.122 0.122
0.122 0.122
0.122 0.122
0.122 0.122
0.123 0.123
0.123 0.122
0.123 0.122
0.124 0.123
0.123 0.123
0.124 0.123
0.124 0.123
0.122 0.122
0.122 0.122
0.123 0.122
0.123 0.122
0.123 0.122
0.122 0.122
0.122 0.122
0.122 0.122
0.122 0.122
0.122 0.122
0.122 0.122
0.122 0.121
0.122 0.121
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.119 0.119
0.119 0.119
0.119 0.119
0.121 0.120
0.121 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.121 0.121
0.122 0.121
0.122 0.121
0.122 0.121
0.122 0.121
0.122 0.122
0.121 0.121
0.121 0.120
0.123 0.123
0.123 0.122
0.123 0.122
0.123 0.122
0.122 0.122
0.122 0.121
0.122 0.121
0.122 0.121
0.122 0.121
0.121 0.121
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.121 0.120
0.121 0.120
0.121 0.120
0.121 0.120
0.121 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.120 0.120
0.119 0.119
0.119 0.119
